9643;4637;2
3591;2112;2
3334;8335;6
8530;6167;7
4045;2284;1
6791;6632;7
5348;4679;7
134;6209;4
6427;1204;6
9517;5284;4
6959;8770;1
5784;6756;1
4942;2708;7
9771;2479;7
1795;6476;4
5080;5977;4
3765;6058;5
8942;7876;2
1151;5419;4
5963;1033;1
725;1050;5
860;2152;1
3513;7200;1
4869;7222;4
1109;5042;3
9546;8204;6
9604;1928;4
1566;7839;2
6195;1919;6
8172;6432;6
2430;6144;5
3392;5901;6
5957;6040;4
4493;7794;2
100;7744;7
1292;8055;1
2489;3594;4
942;6810;7
3495;6913;3
5301;5106;3
7699;8338;1
3299;4548;2
728;3778;7
6684;7689;7
9818;4249;4
6926;4185;7
3852;1357;4
1449;7879;5
5536;4308;5
1018;1714;5
3098;7876;3
9658;2730;7
5089;3927;5
5157;2120;6
3579;2422;3
7367;2992;6
6258;8719;4
380;6248;1
7777;5766;1
6663;7377;2
7650;2607;4
2158;6750;1
7675;1907;6
2554;4359;7
4213;6292;2
4905;4971;6
7585;6952;2
6336;3048;6
7706;6101;3
3826;1869;2
443;6729;4
4852;5825;3
9436;8353;2
514;1471;5
3914;6462;5
3757;2873;3
5866;8062;7
8154;4143;3
7096;8915;4
8947;8857;5
7947;8638;5
633;2100;7
2281;2900;4
6488;3970;3
770;5215;2
7267;3754;1
9506;6375;5
6956;1649;5
9905;3903;4
4961;8288;5
1861;5535;3
7622;8372;6
8745;8141;2
1433;4988;2
7540;2381;6
3238;4141;2
2145;6441;4
9712;7307;3
7834;5664;3
4558;6974;6
838;3298;7
7013;5519;4
4885;3309;4
3353;1954;2
2371;5095;7
5083;2328;6
4281;3185;1
1019;7965;6
9570;4556;4
3636;8699;5
8835;8725;1
898;2778;4
1297;7478;7
9793;8028;5
2079;5082;7
972;1358;7
161;5005;4
4176;1099;7
5260;5758;1
472;2194;3
1897;3402;5
4565;4494;7
1720;5898;6
6063;2168;5
3661;7715;3
5362;4457;3
2909;3372;7
7928;1527;7
1427;2304;5
2821;2990;4
8700;7750;4
8082;3735;7
5618;7901;4
9222;5495;5
276;4389;1
9057;5534;4
7197;1907;5
2654;4596;7
4670;7099;1
3387;7961;6
5692;6384;6
5588;7464;1
8673;3066;1
995;5119;4
6838;4733;1
6788;5209;5
3173;6917;7
2593;2608;2
6771;2563;7
3720;7238;2
3047;1191;7
8577;5218;1
7466;6803;1
8058;4193;4
3876;2848;2
2558;1213;7
6539;1218;3
7712;1944;1
6268;1256;1
7576;7884;2
3080;7962;5
1242;1744;2
3650;8856;1
6451;3862;6
4996;6402;7
7038;8508;2
9980;8352;3
6582;3566;3
1043;7073;3
4151;6636;4
1404;3731;6
6859;7750;4
1997;3082;2
1789;4029;1
2730;8448;2
1890;7509;3
9569;3224;1
1564;7306;3
6026;4946;5
5659;8650;4
3225;3060;5
6096;6648;5
5250;8794;5
636;7174;3
7790;4095;1
1273;3713;3
8268;3055;2
6387;5433;6
7739;4308;4
5469;6527;5
5394;6297;2
3709;1396;2
250;7899;3
5205;4445;1
5579;7444;4
1366;8640;7
9509;6630;6
4907;1385;5
5173;4445;1
8829;8697;6
7008;7714;2
6928;4032;4
2903;4444;7
5206;2279;4
3477;2872;7
2405;8555;1
7583;1099;6
2192;3255;2
5722;7684;1
7637;3658;7
3230;8755;4
7476;4652;3
3156;7878;7
9794;3548;5
2640;4249;6
7492;2712;5
6447;5530;1
7875;7290;7
3260;7661;2
3462;7783;6
6350;5147;1
1898;6835;2
8311;2298;3
7107;5405;1
6339;7868;7
5007;3449;5
2422;3566;2
3312;6285;4
4522;8764;6
5327;3685;2
2949;8089;7
3985;5309;3
7318;3725;6
9124;8527;2
8339;3517;3
4793;7022;5
1665;2057;2
1498;8341;3
1948;3323;1
2529;8266;4
6435;5296;4
8091;3170;6
2071;7212;1
6260;4279;5
2674;2131;6
4590;1475;6
4922;4177;3
7529;4946;3
1188;7955;3
7865;4793;2
1768;5343;2
3561;2970;2
1056;3019;3
8538;5459;2
616;1096;7
330;1498;2
3074;7613;2
1280;2925;1
4390;4920;5
4190;6534;3
9706;6791;6
4701;2087;6
1876;6231;7
8296;3356;6
8049;5056;5
4877;8410;7
550;1560;4
